comparison,dataset,gold,base_prediction,tuned_prediction,count
qwen05_drugs,medmcqa,D,C,C,13
qwen05_drugs,medmcqa,D,C,D,10
qwen05_drugs,medmcqa,D,D,A,1
qwen05_drugs,medmcqa,D,D,B,4
qwen05_drugs,medmcqa,D,D,C,8
qwen05_drugs,medmcqa,D,D,D,633
qwen05_drugs,medqa,A,A,A,36
qwen05_drugs,medqa,A,A,B,14
qwen05_drugs,medqa,A,A,C,4
qwen05_drugs,medqa,A,A,D,9
qwen05_drugs,medqa,A,B,B,51
qwen05_drugs,medqa,A,B,D,3
qwen05_drugs,medqa,A,C,C,33
qwen05_drugs,medqa,A,D,A,5
qwen05_drugs,medqa,A,D,B,18
qwen05_drugs,medqa,A,D,C,17
qwen05_drugs,medqa,A,D,D,163
qwen05_drugs,medqa,B,A,A,11
qwen05_drugs,medqa,B,A,B,9
qwen05_drugs,medqa,B,A,C,5
qwen05_drugs,medqa,B,A,D,8
qwen05_drugs,medqa,B,B,B,77
qwen05_drugs,medqa,B,B,C,1
qwen05_drugs,medqa,B,B,D,5
qwen05_drugs,medqa,B,C,B,3
qwen05_drugs,medqa,B,C,C,29
qwen05_drugs,medqa,B,C,D,1
qwen05_drugs,medqa,B,D,B,15
qwen05_drugs,medqa,B,D,C,22
qwen05_drugs,medqa,B,D,D,123
qwen05_drugs,medqa,C,A,A,13
qwen05_drugs,medqa,C,A,B,8
qwen05_drugs,medqa,C,A,C,3
qwen05_drugs,medqa,C,A,D,6
qwen05_drugs,medqa,C,B,B,58
qwen05_drugs,medqa,C,B,C,2
qwen05_drugs,medqa,C,B,D,1
qwen05_drugs,medqa,C,C,C,74
qwen05_drugs,medqa,C,D,B,9
qwen05_drugs,medqa,C,D,C,23
qwen05_drugs,medqa,C,D,D,149
qwen05_drugs,medqa,D,A,A,10
qwen05_drugs,medqa,D,A,B,8
qwen05_drugs,medqa,D,A,C,2
qwen05_drugs,medqa,D,A,D,9
qwen05_drugs,medqa,D,B,B,30
qwen05_drugs,medqa,D,B,C,1
qwen05_drugs,medqa,D,B,D,1
qwen05_drugs,medqa,D,C,B,2
qwen05_drugs,medqa,D,C,C,21
qwen05_drugs,medqa,D,D,B,11
qwen05_drugs,medqa,D,D,C,20
qwen05_drugs,medqa,D,D,D,150
qwen05_drugs,mmlu,A,A,A,30
qwen05_drugs,mmlu,A,A,B,5
qwen05_drugs,mmlu,A,A,C,3
qwen05_drugs,mmlu,A,A,D,21
qwen05_drugs,mmlu,A,B,A,1
qwen05_drugs,mmlu,A,B,B,28
qwen05_drugs,mmlu,A,B,D,3
qwen05_drugs,mmlu,A,C,B,1
qwen05_drugs,mmlu,A,C,C,13
qwen05_drugs,mmlu,A,D,B,1
qwen05_drugs,mmlu,A,D,C,5
qwen05_drugs,mmlu,A,D,D,124
qwen05_drugs,mmlu,B,A,A,5
qwen05_drugs,mmlu,B,A,B,6
qwen05_drugs,mmlu,B,A,D,9
qwen05_drugs,mmlu,B,B,B,68
qwen05_drugs,mmlu,B,B,C,1
qwen05_drugs,mmlu,B,B,D,5
qwen05_drugs,mmlu,B,C,C,13
qwen05_drugs,mmlu,B,C,D,1
qwen05_drugs,mmlu,B,D,B,8
qwen05_drugs,mmlu,B,D,C,4
qwen05_drugs,mmlu,B,D,D,134
qwen05_drugs,mmlu,C,A,A,6
qwen05_drugs,mmlu,C,A,B,4
qwen05_drugs,mmlu,C,A,C,3
qwen05_drugs,mmlu,C,A,D,7
qwen05_drugs,mmlu,C,B,B,24
qwen05_drugs,mmlu,C,B,C,2
qwen05_drugs,mmlu,C,B,D,6
qwen05_drugs,mmlu,C,C,B,1
qwen05_drugs,mmlu,C,C,C,38
qwen05_drugs,mmlu,C,C,D,1
qwen05_drugs,mmlu,C,D,A,1
qwen05_drugs,mmlu,C,D,B,2
qwen05_drugs,mmlu,C,D,C,4
qwen05_drugs,mmlu,C,D,D,149
qwen05_drugs,mmlu,D,A,A,8
qwen05_drugs,mmlu,D,A,B,3
qwen05_drugs,mmlu,D,A,C,2
qwen05_drugs,mmlu,D,A,D,10
qwen05_drugs,mmlu,D,B,B,28
qwen05_drugs,mmlu,D,B,C,2
qwen05_drugs,mmlu,D,B,D,3
qwen05_drugs,mmlu,D,C,C,11
qwen05_drugs,mmlu,D,D,B,11
qwen05_drugs,mmlu,D,D,C,8
qwen05_drugs,mmlu,D,D,D,266
qwen05_drugs,pubmedqa,A,A,A,150
qwen05_drugs,pubmedqa,A,A,B,96
qwen05_drugs,pubmedqa,A,B,B,30
qwen05_drugs,pubmedqa,B,A,A,70
qwen05_drugs,pubmedqa,B,A,B,66
qwen05_drugs,pubmedqa,B,B,B,33
qwen05_drugs,pubmedqa,C,A,A,27
qwen05_drugs,pubmedqa,C,A,B,19
qwen05_drugs,pubmedqa,C,B,B,9
