comparison,dataset,gold,base_prediction,tuned_prediction,count
gemma_who,mmlu,C,A,A,42
gemma_who,mmlu,C,A,B,4
gemma_who,mmlu,C,A,C,6
gemma_who,mmlu,C,A,D,1
gemma_who,mmlu,C,B,A,9
gemma_who,mmlu,C,B,B,23
gemma_who,mmlu,C,B,C,4
gemma_who,mmlu,C,B,D,4
gemma_who,mmlu,C,C,A,5
gemma_who,mmlu,C,C,B,5
gemma_who,mmlu,C,C,C,119
gemma_who,mmlu,C,C,D,5
gemma_who,mmlu,C,D,A,1
gemma_who,mmlu,C,D,C,1
gemma_who,mmlu,C,D,D,19
gemma_who,mmlu,D,A,A,46
gemma_who,mmlu,D,A,C,2
gemma_who,mmlu,D,A,D,10
gemma_who,mmlu,D,B,A,14
gemma_who,mmlu,D,B,B,32
gemma_who,mmlu,D,B,C,7
gemma_who,mmlu,D,B,D,7
gemma_who,mmlu,D,C,A,8
gemma_who,mmlu,D,C,B,3
gemma_who,mmlu,D,C,C,33
gemma_who,mmlu,D,C,D,10
gemma_who,mmlu,D,D,A,15
gemma_who,mmlu,D,D,B,7
gemma_who,mmlu,D,D,C,9
gemma_who,mmlu,D,D,D,149
gemma_who,pubmedqa,A,A,A,217
gemma_who,pubmedqa,A,B,A,10
gemma_who,pubmedqa,A,B,B,6
gemma_who,pubmedqa,A,C,A,39
gemma_who,pubmedqa,A,C,B,2
gemma_who,pubmedqa,A,C,C,2
gemma_who,pubmedqa,B,A,A,121
gemma_who,pubmedqa,B,B,A,11
gemma_who,pubmedqa,B,B,B,6
gemma_who,pubmedqa,B,C,A,21
gemma_who,pubmedqa,B,C,B,8
gemma_who,pubmedqa,B,C,C,2
gemma_who,pubmedqa,C,A,A,42
gemma_who,pubmedqa,C,B,A,2
gemma_who,pubmedqa,C,B,B,1
gemma_who,pubmedqa,C,C,A,8
gemma_who,pubmedqa,C,C,B,2
