comparison,dataset,gold,base_prediction,tuned_prediction,count
gemma_drugs,medqa,C,A,B,6
gemma_drugs,medqa,C,A,C,7
gemma_drugs,medqa,C,A,D,2
gemma_drugs,medqa,C,B,A,4
gemma_drugs,medqa,C,B,B,50
gemma_drugs,medqa,C,B,C,13
gemma_drugs,medqa,C,B,D,2
gemma_drugs,medqa,C,C,A,5
gemma_drugs,medqa,C,C,B,4
gemma_drugs,medqa,C,C,C,160
gemma_drugs,medqa,C,D,A,8
gemma_drugs,medqa,C,D,B,4
gemma_drugs,medqa,C,D,C,12
gemma_drugs,medqa,C,D,D,20
gemma_drugs,medqa,D,A,A,63
gemma_drugs,medqa,D,A,B,5
gemma_drugs,medqa,D,A,C,7
gemma_drugs,medqa,D,A,D,1
gemma_drugs,medqa,D,B,A,7
gemma_drugs,medqa,D,B,B,48
gemma_drugs,medqa,D,B,C,2
gemma_drugs,medqa,D,B,D,1
gemma_drugs,medqa,D,C,A,4
gemma_drugs,medqa,D,C,B,6
gemma_drugs,medqa,D,C,C,44
gemma_drugs,medqa,D,D,A,8
gemma_drugs,medqa,D,D,B,13
gemma_drugs,medqa,D,D,C,10
gemma_drugs,medqa,D,D,D,46
gemma_drugs,mmlu,A,A,A,155
gemma_drugs,mmlu,A,A,B,2
gemma_drugs,mmlu,A,A,C,5
gemma_drugs,mmlu,A,A,D,2
gemma_drugs,mmlu,A,B,A,5
gemma_drugs,mmlu,A,B,B,25
gemma_drugs,mmlu,A,B,C,1
gemma_drugs,mmlu,A,B,D,2
gemma_drugs,mmlu,A,C,A,4
gemma_drugs,mmlu,A,C,B,2
gemma_drugs,mmlu,A,C,C,21
gemma_drugs,mmlu,A,D,A,2
gemma_drugs,mmlu,A,D,C,1
gemma_drugs,mmlu,A,D,D,8
gemma_drugs,mmlu,B,A,A,51
gemma_drugs,mmlu,B,A,B,7
gemma_drugs,mmlu,B,A,C,3
gemma_drugs,mmlu,B,A,D,1
gemma_drugs,mmlu,B,B,A,9
gemma_drugs,mmlu,B,B,B,131
gemma_drugs,mmlu,B,B,C,2
gemma_drugs,mmlu,B,B,D,2
gemma_drugs,mmlu,B,C,A,5
gemma_drugs,mmlu,B,C,B,2
gemma_drugs,mmlu,B,C,C,16
gemma_drugs,mmlu,B,C,D,1
gemma_drugs,mmlu,B,D,A,1
gemma_drugs,mmlu,B,D,B,3
gemma_drugs,mmlu,B,D,C,5
gemma_drugs,mmlu,B,D,D,15
gemma_drugs,mmlu,C,A,A,41
gemma_drugs,mmlu,C,A,B,4
gemma_drugs,mmlu,C,A,C,8
gemma_drugs,mmlu,C,B,A,4
gemma_drugs,mmlu,C,B,B,31
gemma_drugs,mmlu,C,B,C,5
gemma_drugs,mmlu,C,C,A,3
gemma_drugs,mmlu,C,C,B,6
gemma_drugs,mmlu,C,C,C,125
gemma_drugs,mmlu,C,D,B,1
gemma_drugs,mmlu,C,D,C,8
gemma_drugs,mmlu,C,D,D,12
gemma_drugs,mmlu,D,A,A,48
gemma_drugs,mmlu,D,A,B,3
gemma_drugs,mmlu,D,A,C,3
gemma_drugs,mmlu,D,A,D,4
gemma_drugs,mmlu,D,B,A,9
gemma_drugs,mmlu,D,B,B,41
gemma_drugs,mmlu,D,B,C,7
gemma_drugs,mmlu,D,B,D,3
gemma_drugs,mmlu,D,C,A,3
gemma_drugs,mmlu,D,C,B,2
gemma_drugs,mmlu,D,C,C,48
gemma_drugs,mmlu,D,C,D,1
gemma_drugs,mmlu,D,D,A,13
gemma_drugs,mmlu,D,D,B,13
gemma_drugs,mmlu,D,D,C,17
gemma_drugs,mmlu,D,D,D,137
gemma_drugs,pubmedqa,A,A,A,217
gemma_drugs,pubmedqa,A,B,A,8
gemma_drugs,pubmedqa,A,B,B,8
gemma_drugs,pubmedqa,A,C,A,29
gemma_drugs,pubmedqa,A,C,B,11
gemma_drugs,pubmedqa,A,C,C,3
gemma_drugs,pubmedqa,B,A,A,121
gemma_drugs,pubmedqa,B,B,A,5
gemma_drugs,pubmedqa,B,B,B,12
gemma_drugs,pubmedqa,B,C,A,16
gemma_drugs,pubmedqa,B,C,B,13
gemma_drugs,pubmedqa,B,C,C,2
gemma_drugs,pubmedqa,C,A,A,40
gemma_drugs,pubmedqa,C,A,B,2
gemma_drugs,pubmedqa,C,B,A,1
gemma_drugs,pubmedqa,C,B,B,2
gemma_drugs,pubmedqa,C,C,A,7
gemma_drugs,pubmedqa,C,C,B,3
