comparison,dataset,gold,base_prediction,tuned_prediction,count
qwen05_who,medqa,A,A,A,14
qwen05_who,medqa,A,A,B,31
qwen05_who,medqa,A,A,C,5
qwen05_who,medqa,A,A,D,13
qwen05_who,medqa,A,B,B,51
qwen05_who,medqa,A,B,C,1
qwen05_who,medqa,A,B,D,2
qwen05_who,medqa,A,C,B,5
qwen05_who,medqa,A,C,C,27
qwen05_who,medqa,A,C,D,1
qwen05_who,medqa,A,D,B,25
qwen05_who,medqa,A,D,C,14
qwen05_who,medqa,A,D,D,164
qwen05_who,medqa,B,A,A,7
qwen05_who,medqa,B,A,B,19
qwen05_who,medqa,B,A,C,3
qwen05_who,medqa,B,A,D,4
qwen05_who,medqa,B,B,B,78
qwen05_who,medqa,B,B,C,1
qwen05_who,medqa,B,B,D,4
qwen05_who,medqa,B,C,B,8
qwen05_who,medqa,B,C,C,25
qwen05_who,medqa,B,D,A,1
qwen05_who,medqa,B,D,B,27
qwen05_who,medqa,B,D,C,8
qwen05_who,medqa,B,D,D,124
qwen05_who,medqa,C,A,A,8
qwen05_who,medqa,C,A,B,15
qwen05_who,medqa,C,A,C,1
qwen05_who,medqa,C,A,D,6
qwen05_who,medqa,C,B,B,59
qwen05_who,medqa,C,B,C,2
qwen05_who,medqa,C,C,B,6
qwen05_who,medqa,C,C,C,64
qwen05_who,medqa,C,C,D,4
qwen05_who,medqa,C,D,B,26
qwen05_who,medqa,C,D,C,12
qwen05_who,medqa,C,D,D,143
qwen05_who,medqa,D,A,A,6
qwen05_who,medqa,D,A,B,14
qwen05_who,medqa,D,A,D,9
qwen05_who,medqa,D,B,B,31
qwen05_who,medqa,D,B,D,1
qwen05_who,medqa,D,C,B,4
qwen05_who,medqa,D,C,C,18
qwen05_who,medqa,D,C,D,1
qwen05_who,medqa,D,D,A,1
qwen05_who,medqa,D,D,B,16
qwen05_who,medqa,D,D,C,20
qwen05_who,medqa,D,D,D,144
qwen05_who,mmlu,A,A,A,29
qwen05_who,mmlu,A,A,B,13
qwen05_who,mmlu,A,A,C,1
qwen05_who,mmlu,A,A,D,16
qwen05_who,mmlu,A,B,B,30
qwen05_who,mmlu,A,B,D,2
qwen05_who,mmlu,A,C,B,5
qwen05_who,mmlu,A,C,C,9
qwen05_who,mmlu,A,D,B,17
qwen05_who,mmlu,A,D,C,3
qwen05_who,mmlu,A,D,D,110
qwen05_who,mmlu,B,A,A,3
qwen05_who,mmlu,B,A,B,10
qwen05_who,mmlu,B,A,D,7
qwen05_who,mmlu,B,B,B,67
qwen05_who,mmlu,B,B,D,7
qwen05_who,mmlu,B,C,A,1
qwen05_who,mmlu,B,C,B,3
qwen05_who,mmlu,B,C,C,10
qwen05_who,mmlu,B,D,B,13
qwen05_who,mmlu,B,D,C,1
qwen05_who,mmlu,B,D,D,132
qwen05_who,mmlu,C,A,A,9
qwen05_who,mmlu,C,A,B,8
qwen05_who,mmlu,C,A,D,3
qwen05_who,mmlu,C,B,B,30
qwen05_who,mmlu,C,B,D,2
qwen05_who,mmlu,C,C,B,3
qwen05_who,mmlu,C,C,C,34
qwen05_who,mmlu,C,C,D,3
qwen05_who,mmlu,C,D,B,9
qwen05_who,mmlu,C,D,C,2
qwen05_who,mmlu,C,D,D,145
qwen05_who,mmlu,D,A,A,9
qwen05_who,mmlu,D,A,B,5
qwen05_who,mmlu,D,A,C,1
qwen05_who,mmlu,D,A,D,8
qwen05_who,mmlu,D,B,B,28
qwen05_who,mmlu,D,B,D,5
qwen05_who,mmlu,D,C,B,2
qwen05_who,mmlu,D,C,C,7
qwen05_who,mmlu,D,C,D,2
qwen05_who,mmlu,D,D,B,15
qwen05_who,mmlu,D,D,C,6
qwen05_who,mmlu,D,D,D,264
qwen05_who,pubmedqa,A,A,A,174
qwen05_who,pubmedqa,A,A,B,72
qwen05_who,pubmedqa,A,B,A,1
qwen05_who,pubmedqa,A,B,B,29
qwen05_who,pubmedqa,B,A,A,79
qwen05_who,pubmedqa,B,A,B,57
qwen05_who,pubmedqa,B,B,B,33
qwen05_who,pubmedqa,C,A,A,29
qwen05_who,pubmedqa,C,A,B,17
qwen05_who,pubmedqa,C,B,B,9
